file,year,model
images/MDR_overband/png/0001.png,2020,WH-1000XM4
images/MDR_overband/png/0002.png,2020,WH-CH710N
images/MDR_overband/png/0003.png,2019,WH-H910N
images/MDR_overband/png/0004.png,2019,WH-H810
images/MDR_overband/png/0005.png,2019,WH-XB900N
images/MDR_overband/png/0006.png,2019,WH-XB700
images/MDR_overband/png/0007.png,2019,WH-CH510
images/MDR_overband/png/0008.png,2018,WH-1000XM3
images/MDR_overband/png/0009.png,2018,MDR-Z7M2
images/MDR_overband/png/0010.png,2018,WH-CH700N
images/MDR_overband/png/0011.png,2018,WH-CH500
images/MDR_overband/png/0012.png,2018,WH-CH400
images/WALKMAN/png/0001.png,2019,NW-ZX500
images/WALKMAN/png/0002.png,2019,NW-A100
images/WALKMAN/png/0003.png,2018,DMP-Z1
images/WALKMAN/png/0004.png,2018,NW-A50
images/WALKMAN/png/0005.png,2017,NW-ZX300
images/WALKMAN/png/0006.png,2017,NW-A40
images/WALKMAN/png/0007.png,2016,NW-WM1A
images/WALKMAN/png/0008.png,2016,NW-A30
images/WALKMAN/png/0009.png,2015,NW-ZX100
images/WALKMAN/png/0010.png,2015,NW-A20
images/WALKMAN/png/0011.png,2015,NW-E390
images/BRAVIA/png/cw/0001.png,2020,Z9H
images/BRAVIA/png/cw/0002.png,2020,A9S
images/BRAVIA/png/cw/0003.png,2020,A8H
images/BRAVIA/png/cw/0004.png,2020,X9500H
images/BRAVIA/png/cw/0005.png,2020,X8500H
images/BRAVIA/png/cw/0006.png,2020,X8000H
images/BRAVIA/png/cw/0007.png,2019,Z9G
images/BRAVIA/png/cw/0008.png,2019,A9G
images/BRAVIA/png/cw/0009.png,2019,A8G
images/BRAVIA/png/cw/0010.png,2019,X9500G
images/BRAVIA/png/cw/0011.png,2019,X8500G
images/BRAVIA/png/cw/0012.png,2019,XG81
images/BRAVIA/png/cw/0013.png,2018,A9F
images/BRAVIA/png/cw/0014.png,2018,A8F
images/BRAVIA/png/cw/0015.png,2018,Z9F
