file,year,model
0001,2020,Z9H
0002,2020,A9S
0003,2020,A8H
0004,2020,X9500H
0005,2020,X8500H
0006,2020,X8000H
0007,2019,Z9G
0008,2019,A9G
0009,2019,A8G
0010,2019,X9500G
0011,2019,X8500G
0012,2019,XG81
0013,2018,A9F
0014,2018,A8F
0015,2018,Z9F
0016,2018,X9000F
0017,2018,X8500F
0018,2018,X8000F
0019,2018,W8000F
0020,2017,A1E
0021,2017,X9400E
0022,2017,X8500E
0023,2017,W7500E
0024,2016,Z9D
0025,2016,X9350D
0026,2016,X9300D
0027,2016,X8500D
0028,2016,X8300D
0029,2016,X7000D
0030,2016,W730C
0031,2016,W450D
0032,2015,X9400C
0033,2015,X9000C
0034,2015,X8500C
0035,2015,X8000C
0036,2015,W500C
0037,2015,W600A
0038,2014,X9500B
0039,2014,X9200B
0040,2014,W920A
0041,2014,W900B
0042,2014,W600B
0043,2014,W500A
0044,2013,X9200A
0045,2013,X8500A
0046,2013,W900A
0047,2013,W650
0048,2012,X9000
0049,2012,HX950
0050,2012,HX850
0051,2012,HX750
0052,2012,HX65R
0053,2012,EX750
0054,2012,EX540
0055,2011,HX920
0056,2011,HX820
0057,2011,HX720
0058,2011,EX72S
0059,2011,EX52H
0060,2010,LX900
0061,2010,HX900
0062,2010,HX800
0063,2010,EX700
0064,2010,EX500
0065,2009,ZX5
0066,2009,W5
0067,2009,V5
0068,2009,F5
0069,2009,J5
0070,2008,XR1
0071,2008,X1
0072,2008,F1
0073,2008,ZX1
